ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto,ID do Cliente,Nome do Cliente,Email do Cliente,Telefone do Cliente
2,Ana Ritchie,863-369-6954,12,Recycled Plastic Pizza,165.00,077,3,Teresa O'Reilly,Godfrey.Ward25@yahoo.com,(614) 446-6587
2,Ana Ritchie,863-369-6954,13,Licensed Wooden Pants,99.00,248,3,Teresa O'Reilly,Godfrey.Ward25@yahoo.com,(614) 446-6587
2,Ana Ritchie,863-369-6954,14,Recycled Steel Chips,845.00,97786,3,Teresa O'Reilly,Godfrey.Ward25@yahoo.com,(614) 446-6587
2,Ana Ritchie,863-369-6954,15,Bespoke Frozen Shirt,625.00,96406,3,Teresa O'Reilly,Godfrey.Ward25@yahoo.com,(614) 446-6587
2,Ana Ritchie,863-369-6954,16,Recycled Wooden Soap,492.00,607,3,Teresa O'Reilly,Godfrey.Ward25@yahoo.com,(614) 446-6587
2,Ana Ritchie,863-369-6954,17,Elegant Metal Soap,396.00,4872,4,Heather Jenkins,William_McLaughlin4@yahoo.com,394-935-3342
2,Ana Ritchie,863-369-6954,18,Sleek Wooden Bacon,510.00,4518,4,Heather Jenkins,William_McLaughlin4@yahoo.com,394-935-3342
2,Ana Ritchie,863-369-6954,19,Fantastic Metal Keyboard,258.00,869,4,Heather Jenkins,William_McLaughlin4@yahoo.com,394-935-3342
2,Ana Ritchie,863-369-6954,20,Rustic Metal Fish,561.00,4797,4,Heather Jenkins,William_McLaughlin4@yahoo.com,394-935-3342
2,Ana Ritchie,863-369-6954,21,Awesome Fresh Tuna,275.00,782,4,Heather Jenkins,William_McLaughlin4@yahoo.com,394-935-3342
